Страна;Регион;Город;Оператор;Код;Тип (моб - 1, стационарный - 0)
MTT Global Networks;;;MTT;883140;0
MTT Global Networks;;;MTT;8831403;0
MTT Global Networks;;;MTT;88314073;0
MTT Global Networks;;;MTT;88314072;0
MTT Global Networks;;;MTT;88314071;0
Voxbone Global Networks;;;Voxbone;8835100;0
Абхазия;;;;7840;0
Абхазия;;;Aquafon;79409;1
Абхазия;;;Others;7940;1
Абхазия;;;А-Моб.;79407;1
Австралийская Антарктическая территория;;;;672;0
Австралия;;;;61;0
Австралия;;;Global Satelite Mobile;6114;1
Австралия;;;;611;1
Австралия;;;;614;1
Австралия;;;;6173;0
Австралия;;;;61870;0
Австралия;;;;61874;0
Австралия;;;;6128;0
Австралия;;;;6172;0
Австралия;;;;61873;0
Австралия;;;;61882;0
Австралия;;;;6193;0
Австралия;;;;61871;0
Австралия;;;;6194;0
Австралия;;;;6129;0
Австралия;;;;6163;0
Австралия;;;;61883;0
Австралия;;;;61261;0
Австралия;;;;6154;0
Австралия;;;;61872;0
Австралия;;;;6192;0
Австралия;;;;6152;0
Австралия;;;;6153;0
Австралия;;;;6164;0
Австралия;;;;6165;0
Австралия;;;;61881;0
Австралия;;;;61884;0
Австралия;;;;61262;0
Австралия;;;;6162;0
Австралия;;;специальные сервисы;6113;0
Австрия;;;;43;0
Австрия;;Вена;;431;0
Австрия;;;Connect One;43681;1
Австрия;;;Connect One;43699;1
Австрия;;; Mobilkom;43644;1
Австрия;;; Mobilkom;43664;1
Австрия;;; Mobilkom;43680;1
Австрия;;; Mobilkom;43688;1
Австрия;;; Mobilkom;4369988;1
Австрия;;; Mobilkom;4369989;1
Австрия;;;Others;43711;1
Австрия;;;Others;43720;1
Австрия;;;Others;43730;1
Австрия;;;Others;43740;1
Австрия;;;Others;43780;1
Австрия;;;Others;43810;1
Австрия;;;Others;43820;1
Австрия;;;Telering;43650;1
Австрия;;;T-Mobile;43676;1
Австрия;;;T-Mobile;43677;1
Австрия;;; роуминг Connect One;4369900;1
Австрия;;;роуминг Mobilkom;436640;1
Австрия;;;роуминг Telering;436500;1
Австрия;;;роуминг T-Mobile;436760;1
Австрия;;;роуминг 3G;436600;1
Австрия;;; 3G;43660;1
Австрия;;; 3G;43678;1
Австрия;;;;43661;1
Австрия;;;3G;4367833;1
Австрия;;;3G;4367890;1
Австрия;;;3G;4367891;1
Азербайджан;;;;994;0
Азербайджан;;Баку;;99412;0
Азербайджан;;;Azercell;99450;1
Азербайджан;;;Azercell;99451;1
Азербайджан;;;Azerfon;99470;1
Азербайджан;;;Azerfon;99477;1
Азербайджан;;; Backcell;99455;1
Азербайджан;;;Catel;99440;1
Азербайджан;;;Others;99444;1
Азербайджан;;;Others;9945;1
Азербайджан;;;Others;99460;1
Азербайджан;;;роуминг Azercell;994508;1
Азербайджан;;;роуминг Azerfon;9947020;1
Азербайджан;;;Azerfon;994700;1
Азербайджан;;;Bakcell;994550;1
Азербайджан;;;специальные сервисы;99488;0
Азербайджан;;;специальные сервисы;994900;0
Албания;;;;355;0
Албания;;;OLO;3554249;1
Албания;;;OLO;3554250;1
Албания;;;OLO;3554251;1
Албания;;;OLO;3554252;1
Албания;;;Интерактивное ТВ;355346;1
Албания;;;Интерактивное ТВ;355355;1
Албания;;;Интерактивное ТВ;355511;1
Албания;;;Интерактивное ТВ;355559;1
Албания;;;Eagle;35567;1
Албания;;;PLUS;35566;1
Албания;;;прочие;35568;1
Албания;;;прочие;35569;1
Албания;;;Тирана;3554;1
Албания;;;AMC;355680;1
Албания;;;специальные сервисы;35552450;0
Албания;;;специальные сервисы;35545751;0
Албания;;;специальные сервисы;35545750;0
Алжир;;;;213;0
Алжир;;;Algeria Telecom;21366;1
Алжир;;;Algeria Telecom;21369;1
Алжир;;;Orascom;21377;1
Алжир;;;Orascom;21379;1
Алжир;;;Others;2136;1
Алжир;;;Others;21396;1
Алжир;;;Others;21398;1
Алжир;;;Wataniya;2135;1
Алжир;;;Orascom;213780;1
Алжир;;;;2137;1
Алжир;;;;2139;1
Американская Самоа;;;;1684;0
Американские Виргинские острова;;;;1340;0
Ангилья;;;;1264;0
Ангола;;;;244;0
Ангола;;;;2449;1
Ангола;;;Мовисел;24491;1
Ангола;;;Юнител;24492;1
Ангола;;;Юнител;24493;1
Андорра;;;;376;0
Андорра;;;;3763;1
Андорра;;;;3764;1
Андорра;;;;3765;1
Андорра;;;;3766;1
Антигуа и Барбуда;;;;1268;0
Аргентина;;;;54;0
Аргентина;;Буэнос Айрес;;5411;0
Аргентина;;;;549;1
Армения;;;;374;0
Армения;;Ереван;;37410;0
Армения;;;ArmenTel;37491;1
Армения;;;ArmenTel;37492;1
Армения;;;ArmenTel;37499;1
Армения;;;Orange;37455;1
Армения;;;Orange;37495;1
Армения;;;Others;3749;1
Армения;;;VivaCell;37477;1
Армения;;;VivaCell;37493;1
Армения;;;VivaCell;37494;1
Армения;;;VivaCell;37498;1
Армения;;;роуминг ArmenTel;374910;1
Армения;;;роуминг ArmenTel;3749144;1
Армения;;;роуминг Orange;3749597;1
Армения;;;роуминг VivaCell;3749329;1
Армения;;;прочие;3744;1
Армения;;;прочие;3746037;1
Армения;;;внегеографические;37460;0
Аруба;;;;297;0
Аруба;;;;29756;1
Аруба;;;;29759;1
Аруба;;;;29760;1
Аруба;;;;29762;1
Аруба;;;;29766;1
Аруба;;;;29769;1
Аруба;;;;29773;1
Аруба;;;;29774;1
Аруба;;;;2979;1
Аруба;;;;29763;1
Аруба;;;;29764;1
Афганистан;;;;93;0
Афганистан;;;Afghan Telecom;9375;1
Афганистан;;;AWCC;9370;1
Афганистан;;; Etisalat;9378;1
Афганистан;;;MTN;9377;1
Афганистан;;;Others;937;1
Афганистан;;;Roshan;9379;1
Багамы;;;;1242;0
Бангладеш;;;;880;0
Бангладеш;;;;8801;1
Барбадос;;;;1246;0
Барбадос;;;;124623;1
Барбадос;;;;124624;1
Барбадос;;;;124625;1
Барбадос;;;;124626;1
Барбадос;;;;124644;1
Барбадос;;;;124645;1
Барбадос;;;;124652;1
Барбадос;;;;124653;1
Барбадос;;;;124682;1
Барбадос;;;;124683;1
Барбадос;;;;124684;1
Барбадос;;;;124685;1
Бахрейн;;;;973;0
Бахрейн;;;;973136;1
Бахрейн;;;;97333;1
Бахрейн;;;;97334;1
Бахрейн;;;;97336;1
Бахрейн;;;;973377;1
Бахрейн;;;;973383;1
Бахрейн;;;;973388;1
Бахрейн;;;;97339;1
Бахрейн;;;;973663;1
Бахрейн;;;;973666;1
Бахрейн;;;;97377;1
Беларусь;;;;375;0
Беларусь;;;IFS;375800;1
Беларусь;;;Telemalic services;375602;1
Беларусь;;Минск;;375172;0
Беларусь;;Минск;;375173;0
Беларусь;;Минск;;375175;0
Беларусь;;;BeST;37525;1
Беларусь;;;MDC;375291;1
Беларусь;;;MDC;375293;1
Беларусь;;;MDC;375296;1
Беларусь;;;MDC;375299;1
Беларусь;;;MDC;37544;1
Беларусь;;;MTS;375292;1
Беларусь;;;MTS;375295;1
Беларусь;;;MTS;375297;1
Беларусь;;;MTS;375298;1
Беларусь;;;MTS;37533;1
Беларусь;;;Others;37529;1
Беларусь;;;Сервис;375609;1
Беларусь;;;OLO;3758600003;0
Беларусь;;;OLO;3758600001;0
Беларусь;;;OLO;3758600002;0
Беларусь;;;OLO;3758600000;0
Беларусь;;;MDC;3752960;1
Беларусь;;;MDC;3752910;1
Беларусь;;;MDC;3752930;1
Беларусь;;;MDC;3752990;1
Беларусь;;;MTS;37529739;1
Беларусь;;;MTS;37529549;1
Беларусь;;;MTS;37529719;1
Беларусь;;;MTS;37529799;1
Беларусь;;;MTS;37529789;1
Беларусь;;;MTS;37529579;1
Беларусь;;;MTS;37529759;1
Беларусь;;;MTS;37529729;1
Беларусь;;;;375290;1
Беларусь;;;;375294;1
Беларусь;;;специальные сервисы;37533344;0
Беларусь;;;специальные сервисы;37533357;0
Белиз;;;;501;0
Белиз;;;;5016;1
Бельгия;;;;32;0
Бельгия;;; Universal Access;3270;1
Бельгия;;;ИСС;3297461;0
Бельгия;;;ИСС;3297761;0
Бельгия;;;ИСС;3297861;0
Бельгия;;;ИСС;3297961;0
Бельгия;;;Base;3248;1
Бельгия;;;Belgacom (Proximus);32460;1
Бельгия;;;Belgacom (Proximus);3247;1
Бельгия;;; Mobistar;3249;1
Бельгия;;;Others;324630;1
Бельгия;;; Telenet;324681;1
Бельгия;;; Telenet;324682;1
Бельгия;;; Telenet;324683;1
Бельгия;;;роуминг Base;3248601;1
Бельгия;;; роуминг Belgacom (Proximus);324750;1
Бельгия;;;роуминг Mobistar;3249509;1
Бельгия;;;;3245;1
Бельгия;;;;32463;1
Бельгия;;;;324660;1
Бельгия;;;;324661;1
Бельгия;;;;324662;1
Бенин;;;;229;0
Бенин;;;;2299;1
Бермудские острова;;;;1441;0
Болгария;;;;359;0
Болгария;;;OLO;35924;0
Болгария;;;OLO;359349;0
Болгария;;;WiMax;35999;1
Болгария;;;ВТС;35987;1
Болгария;;;GloBul;35989;1
Болгария;;; Mobikom;35948;1
Болгария;;; Mobiltel;35988;1
Болгария;;;Others;35998;1
Болгария;;;роуминг ВТС;359878;1
Болгария;;;роуминг GloBul;359898;1
Болгария;;;роуминг Mobiltel;359880;1
Болгария;;София;;3592;0
Болгария;;;Специальные сервисы;3598829;1
Болгария;;;Mobiltel;359989;1
Болгария;;;Mobiltel;359988;1
Болгария;;;;359179;1
Болгария;;;специальные сервисы;35988154;0
Боливия;;;;591;0
Боливия;;;;59160;1
Боливия;;;;59165;1
Боливия;;;;59167;1
Боливия;;;;5917;1
Босния и Герцеговина;;;;387;0
Босния и Герцеговина;;; ВН Telecom;38761;1
Босния и Герцеговина;;; ВН Telecom;38762;1
Босния и Герцеговина;;;Eronet;38763;1
Босния и Герцеговина;;;Others;3876;1
Босния и Герцеговина;;;Telekom Srpske;38765;1
Босния и Герцеговина;;;Telekom Srpske;38766;1
Босния и Герцеговина;;; роуминг ВН Telecom;3876112;1
Босния и Герцеговина;;;роуминг Eronet;3876330;1
Босния и Герцеговина;;;роуминг Eronet;3876339;1
Босния и Герцеговина;;;роуминг Telekom Srpske;3876550;1
Босния и Герцеговина;;;HT Mostar;3873049;0
Босния и Герцеговина;;;HT Mostar;3873065;0
Босния и Герцеговина;;;HT Mostar;3873071;0
Босния и Герцеговина;;;HT Mostar;38733901;0
Босния и Герцеговина;;;HT Mostar;3873631;0
Босния и Герцеговина;;;HT Mostar;3873632;0
Босния и Герцеговина;;;HT Mostar;3873634;0
Босния и Герцеговина;;;HT Mostar;3873635;0
Босния и Герцеговина;;;HT Mostar;3873639;0
Босния и Герцеговина;;;HT Mostar;3873682;0
Босния и Герцеговина;;;HT Mostar;3873689;0
Босния и Герцеговина;;;HT Mostar;3873970;0
Босния и Герцеговина;;;HT Mostar;3873079;0
Босния и Герцеговина;;;HT Mostar;38751901;0
Босния и Герцеговина;;;HT Mostar;3873070;0
Босния и Герцеговина;;;HT Mostar;3873288;0
Босния и Герцеговина;;;HT Mostar;38735901;0
Босния и Герцеговина;;;HT Mostar;3873633;0
Босния и Герцеговина;;;HT Mostar;3873638;0
Босния и Герцеговина;;;HT Mostar;3873677;0
Босния и Герцеговина;;;HT Mostar;3873688;0
Босния и Герцеговина;;;HT Mostar;3873966;0
Босния и Герцеговина;;;HT Mostar;3873967;0
Босния и Герцеговина;;;HT Mostar;387497;0
Босния и Герцеговина;;;HT Mostar;3873064;0
Босния и Герцеговина;;;HT Mostar;3873080;0
Босния и Герцеговина;;;HT Mostar;3873087;0
Босния и Герцеговина;;;HT Mostar;3873289;0
Босния и Герцеговина;;;HT Mostar;3873644;0
Босния и Герцеговина;;;HT Mostar;3873664;0
Босния и Герцеговина;;;HT Mostar;3873681;0
Босния и Герцеговина;;;HT Mostar;3873686;0
Босния и Герцеговина;;;HT Mostar;38737901;0
Босния и Герцеговина;;;HT Mostar;3873969;0
Босния и Герцеговина;;;HT Mostar;387317;0
Босния и Герцеговина;;;HT Mostar;3873678;0
Босния и Герцеговина;;;HT Mostar;3873971;0
Босния и Герцеговина;;;HT Mostar;3873984;0
Босния и Герцеговина;;;HT Mostar;3873985;0
Босния и Герцеговина;;;HT Mostar;3873968;0
Босния и Герцеговина;;;HT Mostar;3873073;0
Босния и Герцеговина;;;HT Mostar;38733648;0
Босния и Герцеговина;;;HT Mostar;3873637;0
Босния и Герцеговина;;;HT Mostar;3873665;0
Босния и Герцеговина;;;HT Mostar;3873685;0
Босния и Герцеговина;;;HT Mostar;3873938;0
Босния и Герцеговина;;;HT Mostar;38734;0
Босния и Герцеговина;;;HT Mostar;3873680;0
Босния и Герцеговина;;;HT Mostar;3873687;0
Босния и Герцеговина;;;HT Mostar;3873983;0
Босния и Герцеговина;;;Srpske;387543;0
Босния и Герцеговина;;;Srpske;3875490;0
Босния и Герцеговина;;;Srpske;38754914;0
Босния и Герцеговина;;;Srpske;3875494;0
Босния и Герцеговина;;;Srpske;38755;0
Босния и Герцеговина;;;Srpske;38758;0
Босния и Герцеговина;;;Srpske;38750;0
Босния и Герцеговина;;;Srpske;3875492;0
Босния и Герцеговина;;;Srpske;3875493;0
Босния и Герцеговина;;;Srpske;387492;0
Босния и Герцеговина;;;Srpske;38754916;0
Босния и Герцеговина;;;Srpske;3875497;0
Босния и Герцеговина;;;Srpske;3875499;0
Босния и Герцеговина;;;Srpske;38759;0
Босния и Герцеговина;;;Srpske;387494;0
Босния и Герцеговина;;;Srpske;387540;0
Босния и Герцеговина;;;Srpske;387548;0
Босния и Герцеговина;;;Srpske;38754913;0
Босния и Герцеговина;;;Srpske;3875496;0
Босния и Герцеговина;;;Srpske;387493;0
Босния и Герцеговина;;;Srpske;38751;0
Босния и Герцеговина;;;Srpske;387546;0
Босния и Герцеговина;;;Srpske;3875495;0
Босния и Герцеговина;;;Srpske;3875498;0
Босния и Герцеговина;;;Srpske;38756;0
Босния и Герцеговина;;;Srpske;38752;0
Босния и Герцеговина;;;Srpske;387541;0
Босния и Герцеговина;;;Srpske;387542;0
Босния и Герцеговина;;;Srpske;387547;0
Босния и Герцеговина;;;Srpske;38754910;0
Босния и Герцеговина;;;Srpske;38754919;0
Босния и Герцеговина;;;Srpske;38753;0
Босния и Герцеговина;;;Srpske;387545;0
Босния и Герцеговина;;;Srpske;38754915;0
Босния и Герцеговина;;;Srpske;38754917;0
Босния и Герцеговина;;;Srpske;38757;0
Босния и Герцеговина;;;Srpske;387544;0
Босния и Герцеговина;;;Srpske;38754912;0
Босния и Герцеговина;;;Srpske;38754918;0
Босния и Герцеговина;;;BH Telecom;3876032;1
Босния и Герцеговина;;;BH Telecom;3876034;1
Босния и Герцеговина;;;BH Telecom;3876039;1
Босния и Герцеговина;;;BH Telecom;3876031;1
Босния и Герцеговина;;;BH Telecom;3876033;1
Босния и Герцеговина;;;BH Telecom;3876038;1
Босния и Герцеговина;;;Eronet;38764;1
Босния и Герцеговина;;;Telekom Srpske;38767;1
Босния и Герцеговина;;;специальные сервисы;387369113;0
Босния и Герцеговина;;;специальные сервисы;387369111;0
Босния и Герцеговина;;;специальные сервисы;387369114;0
Босния и Герцеговина;;;специальные сервисы;387369112;0
Босния и Герцеговина;;;специальные сервисы;387369115;0
Ботсвана;;;;267;0
Ботсвана;;;;2677;1
Бразилия;;;;55;0
Бразилия;;;;55116;1
Бразилия;;;;55117;1
Бразилия;;;;55118;1
Бразилия;;;;55119;1
Бразилия;;;;55126;1
Бразилия;;;;55127;1
Бразилия;;;;55128;1
Бразилия;;;;55129;1
Бразилия;;;;55136;1
Бразилия;;;;55137;1
Бразилия;;;;55138;1
Бразилия;;;;55139;1
Бразилия;;;;55146;1
Бразилия;;;;55147;1
Бразилия;;;;55148;1
Бразилия;;;;55149;1
Бразилия;;;;55156;1
Бразилия;;;;55157;1
Бразилия;;;;55158;1
Бразилия;;;;55159;1
Бразилия;;;;55166;1
Бразилия;;;;55167;1
Бразилия;;;;55168;1
Бразилия;;;;55169;1
Бразилия;;;;55176;1
Бразилия;;;;55177;1
Бразилия;;;;55178;1
Бразилия;;;;55179;1
Бразилия;;;;55186;1
Бразилия;;;;55187;1
Бразилия;;;;55188;1
Бразилия;;;;55189;1
Бразилия;;;;55196;1
Бразилия;;;;55197;1
Бразилия;;;;55198;1
Бразилия;;;;55199;1
Бразилия;;;;55216;1
Бразилия;;;;55217;1
Бразилия;;;;55218;1
Бразилия;;;;55219;1
Бразилия;;;;55226;1
Бразилия;;;;55227;1
Бразилия;;;;55228;1
Бразилия;;;;55229;1
Бразилия;;;;55236;1
Бразилия;;;;55237;1
Бразилия;;;;55238;1
Бразилия;;;;55239;1
Бразилия;;;;55246;1
Бразилия;;;;55247;1
Бразилия;;;;55248;1
Бразилия;;;;55249;1
Бразилия;;;;55256;1
Бразилия;;;;55257;1
Бразилия;;;;55258;1
Бразилия;;;;55259;1
Бразилия;;;;55266;1
Бразилия;;;;55267;1
Бразилия;;;;55268;1
Бразилия;;;;55269;1
Бразилия;;;;55276;1
Бразилия;;;;55277;1
Бразилия;;;;55278;1
Бразилия;;;;55279;1
Бразилия;;;;55286;1
Бразилия;;;;55287;1
Бразилия;;;;55288;1
Бразилия;;;;55289;1
Бразилия;;;;55296;1
Бразилия;;;;55297;1
Бразилия;;;;55298;1
Бразилия;;;;55299;1
Бразилия;;;;55316;1
Бразилия;;;;55317;1
Бразилия;;;;55318;1
Бразилия;;;;55319;1
Бразилия;;;;55326;1
Бразилия;;;;55327;1
Бразилия;;;;55328;1
Бразилия;;;;55329;1
Бразилия;;;;55336;1
Бразилия;;;;55337;1
Бразилия;;;;55338;1
Бразилия;;;;55339;1
Бразилия;;;;55346;1
Бразилия;;;;55347;1
Бразилия;;;;55348;1
Бразилия;;;;55349;1
Бразилия;;;;55356;1
Бразилия;;;;55357;1
Бразилия;;;;55358;1
Бразилия;;;;55359;1
Бразилия;;;;55366;1
Бразилия;;;;55367;1
Бразилия;;;;55368;1
Бразилия;;;;55369;1
Бразилия;;;;55376;1
Бразилия;;;;55377;1
Бразилия;;;;55378;1
Бразилия;;;;55379;1
Бразилия;;;;55386;1
Бразилия;;;;55387;1
Бразилия;;;;55388;1
Бразилия;;;;55389;1
Бразилия;;;;55396;1
Бразилия;;;;55397;1
Бразилия;;;;55398;1
Бразилия;;;;55399;1
Бразилия;;;;55416;1
Бразилия;;;;55417;1
Бразилия;;;;55418;1
Бразилия;;;;55419;1
Бразилия;;;;55426;1
Бразилия;;;;55427;1
Бразилия;;;;55428;1
Бразилия;;;;55429;1
Бразилия;;;;55436;1
Бразилия;;;;55437;1
Бразилия;;;;55438;1
Бразилия;;;;55439;1
Бразилия;;;;55446;1
Бразилия;;;;55447;1
Бразилия;;;;55448;1
Бразилия;;;;55449;1
Бразилия;;;;55456;1
Бразилия;;;;55457;1
Бразилия;;;;55458;1
Бразилия;;;;55459;1
Бразилия;;;;55466;1
Бразилия;;;;55467;1
Бразилия;;;;55468;1
Бразилия;;;;55469;1
Бразилия;;;;55476;1
Бразилия;;;;55477;1
Бразилия;;;;55478;1
Бразилия;;;;55479;1
Бразилия;;;;55486;1
Бразилия;;;;55487;1
Бразилия;;;;55488;1
Бразилия;;;;55489;1
Бразилия;;;;55496;1
Бразилия;;;;55497;1
Бразилия;;;;55498;1
Бразилия;;;;55499;1
Бразилия;;;;55516;1
Бразилия;;;;55517;1
Бразилия;;;;55518;1
Бразилия;;;;55519;1
Бразилия;;;;55526;1
Бразилия;;;;55527;1
Бразилия;;;;55528;1
Бразилия;;;;55529;1
Бразилия;;;;55536;1
Бразилия;;;;55537;1
Бразилия;;;;55538;1
Бразилия;;;;55539;1
Бразилия;;;;55546;1
Бразилия;;;;55547;1
Бразилия;;;;55548;1
Бразилия;;;;55549;1
Бразилия;;;;55556;1
Бразилия;;;;55557;1
Бразилия;;;;55558;1
Бразилия;;;;55559;1
Бразилия;;;;55566;1
Бразилия;;;;55567;1
Бразилия;;;;55568;1
Бразилия;;;;55569;1
Бразилия;;;;55576;1
Бразилия;;;;55577;1
Бразилия;;;;55578;1
Бразилия;;;;55579;1
Бразилия;;;;55586;1
Бразилия;;;;55587;1
Бразилия;;;;55588;1
Бразилия;;;;55589;1
Бразилия;;;;55596;1
Бразилия;;;;55597;1
Бразилия;;;;55598;1
Бразилия;;;;55599;1
Бразилия;;;;55616;1
Бразилия;;;;55617;1
Бразилия;;;;55618;1
Бразилия;;;;55619;1
Бразилия;;;;55626;1
Бразилия;;;;55627;1
Бразилия;;;;55628;1
Бразилия;;;;55629;1
Бразилия;;;;55636;1
Бразилия;;;;55637;1
Бразилия;;;;55638;1
Бразилия;;;;55639;1
Бразилия;;;;55646;1
Бразилия;;;;55647;1
Бразилия;;;;55648;1
Бразилия;;;;55649;1
Бразилия;;;;55656;1
Бразилия;;;;55657;1
Бразилия;;;;55658;1
Бразилия;;;;55659;1
Бразилия;;;;55666;1
Бразилия;;;;55667;1
Бразилия;;;;55668;1
Бразилия;;;;55669;1
Бразилия;;;;55716;1
Бразилия;;;;55717;1
Бразилия;;;;55718;1
Бразилия;;;;55719;1
Бразилия;;;;55726;1
Бразилия;;;;55727;1
Бразилия;;;;55728;1
Бразилия;;;;55729;1
Бразилия;;;;55736;1
Бразилия;;;;55737;1
Бразилия;;;;55738;1
Бразилия;;;;55739;1
Бразилия;;;;55746;1
Бразилия;;;;55747;1
Бразилия;;;;55748;1
Бразилия;;;;55749;1
Бразилия;;;;55756;1
Бразилия;;;;55757;1
Бразилия;;;;55758;1
Бразилия;;;;55759;1
Бразилия;;;;55766;1
Бразилия;;;;55767;1
Бразилия;;;;55768;1
Бразилия;;;;55769;1
Бразилия;;;;55776;1
Бразилия;;;;55777;1
Бразилия;;;;55778;1
Бразилия;;;;55779;1
Бразилия;;;;55786;1
Бразилия;;;;55787;1
Бразилия;;;;55788;1
Бразилия;;;;55789;1
Бразилия;;;;55796;1
Бразилия;;;;55797;1
Бразилия;;;;55798;1
Бразилия;;;;55799;1
Бразилия;;;;55816;1
Бразилия;;;;55817;1
Бразилия;;;;55818;1
Бразилия;;;;55819;1
Бразилия;;;;55826;1
Бразилия;;;;55827;1
Бразилия;;;;55828;1
Бразилия;;;;55829;1
Бразилия;;;;55836;1
Бразилия;;;;55837;1
Бразилия;;;;55838;1
Бразилия;;;;55839;1
Бразилия;;;;55846;1
Бразилия;;;;55847;1
Бразилия;;;;55848;1
Бразилия;;;;55849;1
Бразилия;;;;55856;1
Бразилия;;;;55857;1
Бразилия;;;;55858;1
Бразилия;;;;55859;1
Бразилия;;;;55866;1
Бразилия;;;;55867;1
Бразилия;;;;55868;1
Бразилия;;;;55869;1
Бразилия;;;;55876;1
Бразилия;;;;55877;1
Бразилия;;;;55878;1
Бразилия;;;;55879;1
Бразилия;;;;55886;1
Бразилия;;;;55887;1
Бразилия;;;;55888;1
Бразилия;;;;55889;1
Бразилия;;;;55896;1
Бразилия;;;;55897;1
Бразилия;;;;55898;1
Бразилия;;;;55899;1
Бразилия;;;;55916;1
Бразилия;;;;55917;1
Бразилия;;;;55918;1
Бразилия;;;;55919;1
Бразилия;;;;55926;1
Бразилия;;;;55927;1
Бразилия;;;;55928;1
Бразилия;;;;55929;1
Бразилия;;;;55936;1
Бразилия;;;;55937;1
Бразилия;;;;55938;1
Бразилия;;;;55939;1
Бразилия;;;;55946;1
Бразилия;;;;55947;1
Бразилия;;;;55948;1
Бразилия;;;;55949;1
Бразилия;;;;55956;1
Бразилия;;;;55957;1
Бразилия;;;;55958;1
Бразилия;;;;55959;1
Бразилия;;;;55966;1
Бразилия;;;;55967;1
Бразилия;;;;55968;1
Бразилия;;;;55969;1
Бразилия;;;;55976;1
Бразилия;;;;55977;1
Бразилия;;;;55978;1
Бразилия;;;;55979;1
Бразилия;;;;55986;1
Бразилия;;;;55987;1
Бразилия;;;;55988;1
Бразилия;;;;55989;1
Бразилия;;;;55996;1
Бразилия;;;;55997;1
Бразилия;;;;55998;1
Бразилия;;;;55999;1
Бразилия;;Рио-де-Жанейро;;5521;0
Бразилия;;Сан-Паулу;;5511;0
Бразилия;;Белу Оризонти;;5531;0
Бразилия;;;;55115027;1
Бразилия;;;;55115047;1
Бразилия;;;;55115059;1
Бразилия;;;;55115106;1
Бразилия;;;;55115114;1
Бразилия;;;;55115116;1
Бразилия;;;;5511512;1
Бразилия;;;;55115170;1
Бразилия;;;;55115173;1
Бразилия;;;;55115175;1
Бразилия;;;;55115194;1
Бразилия;;;;55115196;1
Бразилия;;;;55115197;1
Бразилия;;;;551152;1
Бразилия;;;;55679;1
Бразилия;;;;55115024;1
Бразилия;;;;55115107;1
Бразилия;;;;55115109;1
Бразилия;;;;55115119;1
Бразилия;;;;55115199;1
Бразилия;;;;551153;1
Бразилия;;;;55115520;1
Бразилия;;;;55115540;1
Бразилия;;;;55115554;1
Бразилия;;;;55115810;1
Бразилия;;;;55115900;1
Бразилия;;;;55115930;1
Бразилия;;;;5511598;1
Бразилия;;;;55678;1
Бразилия;;;;55697;1
Бразилия;;;;55115075;1
Бразилия;;;;55115104;1
Бразилия;;;;55115174;1
Бразилия;;;;55115190;1
Бразилия;;;;55115192;1
Бразилия;;;;55115195;1
Бразилия;;;;551154;1
Бразилия;;;;55115551;1
Бразилия;;;;55676;1
Бразилия;;;;55698;1
Бразилия;;;;55115020;1
Бразилия;;;;55115023;1
Бразилия;;;;55115028;1
Бразилия;;;;55115179;1
Бразилия;;;;55115193;1
Бразилия;;;;55115552;1
Бразилия;;;;5511580;1
Бразилия;;;;55115813;1
Бразилия;;;;55677;1
Бразилия;;;;55687;1
Бразилия;;;;55689;1
Бразилия;;;;55115025;1
Бразилия;;;;55115038;1
Бразилия;;;;55115048;1
Бразилия;;;;55115108;1
Бразилия;;;;55115113;1
Бразилия;;;;55115118;1
Бразилия;;;;55115172;1
Бразилия;;;;55115176;1
Бразилия;;;;55115500;1
Бразилия;;;;55115550;1
Бразилия;;;;5511591;1
Бразилия;;;;55115936;1
Бразилия;;;;55115937;1
Бразилия;;;;5511594;1
Бразилия;;;;55688;1
Бразилия;;;;55696;1
Бразилия;;;;55115026;1
Бразилия;;;;55115057;1
Бразилия;;;;55115064;1
Бразилия;;;;55115076;1
Бразилия;;;;55115100;1
Бразилия;;;;55115117;1
Бразилия;;;;5511513;1
Бразилия;;;;55115178;1
Бразилия;;;;55115198;1
Бразилия;;;;55115815;1
Бразилия;;;;55115901;1
Бразилия;;;;55115902;1
Бразилия;;;;55115903;1
Бразилия;;;;55115905;1
Бразилия;;;;55115935;1
Бразилия;;;;5511595;1
Бразилия;;;;5511599;1
Бразилия;;;;55115030;1
Бразилия;;;;55115037;1
Бразилия;;;;55115101;1
Бразилия;;;;55115039;1
Бразилия;;;;55115040;1
Бразилия;;;;55115043;1
Бразилия;;;;55115050;1
Бразилия;;;;5511514;1
Бразилия;;;;5511515;1
Бразилия;;;;5511516;1
Бразилия;;;;55115177;1
Бразилия;;;;55115530;1
Бразилия;;;;551157;1
Бразилия;;;;5511596;1
Бразилия;;;;55686;1
Бразилия;;;;55699;1
Бразилия;;Сан-Паулу;;55115212;0
Бразилия;;Сан-Паулу;;55115213;0
Британские Виргинские острова;;;;1284;0
Бруней;;;;673;0
Бруней;;;;67371;1
Бруней;;;;6738;1
Буркина Фасо;;;;226;0
Буркина Фасо;;;Интерактивное ТВ;22650;0
Буркина Фасо;;;;2267;1
Бурунди;;;;257;0
Бурунди;;;;25729;1
Бурунди;;;;2577;1
Бурунди;;;Спец.сервисы;2577485;0
Бутан;;;;975;0
Вануату;;;;678;0
Ватикан;;;;379;0
Великобритания;;;;44;0
Великобритания;;;NTS 844;44844;1
Великобритания;;;NTS 845;44845;1
Великобритания;;;NTS 870;44870;1
